epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,289.89,1.72067,3.54011,1.70807,0.20826,0.10801,0.0513,0.01564,2.73147,3.39062,2.4531,0.00199679,0.000665598,0.00199679,0.000665598,0.00199679,0.000665598,0.00199679,0.000665598
2,524.484,1.00052,1.6466,1.12821,0.19096,0.07182,0.03519,0.01136,2.79015,3.35255,2.42878,0.00360111,0.00120037,0.00360111,0.00120037,0.00360111,0.00120037,0.00360111,0.00120037
3,758.279,0.91335,1.14654,1.07865,0.12095,0.05233,0.0217,0.00906,2.91815,3.73356,2.53117,0.00480943,0.00160314,0.00480943,0.00160314,0.00480943,0.00160314,0.00480943,0.00160314
4,1001.55,0.88915,0.90613,1.06572,0.12087,0.03857,0.01646,0.00495,2.9255,3.77665,2.56542,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
5,1243.36,0.8448,0.76165,1.04686,0.08609,0.03306,0.01172,0.0039,2.9535,3.9551,2.58501,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
6,1483.33,0.80905,0.66852,1.02533,0.10881,0.02632,0.01365,0.00449,2.97686,3.98131,2.53945,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
7,1722.54,0.77238,0.61552,1.00899,0.00751,0.08394,0.00702,0.00289,3.01414,4.38819,2.57187,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
8,1958.88,0.74826,0.56355,0.99808,0.08788,0.02146,0.01199,0.00405,2.99767,4.19113,2.55922,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
9,2201.44,0.71212,0.52179,0.97696,0.02899,0.03196,0.00792,0.00275,3.0083,4.39551,2.57838,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
10,2436.57,0.6895,0.49802,0.96803,0.0117,0.08689,0.0089,0.00318,3.00223,4.40292,2.55601,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
