epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1071.65,1.80455,2.76568,1.46756,0.77509,0.64149,0.69715,0.41504,1.31649,1.53776,1.13921,0.00199933,0.000666444,0.00199933,0.000666444,0.00199933,0.000666444,0.00199933,0.000666444
2,1927.89,1.28816,1.51257,1.11768,0.85547,0.74645,0.82011,0.51641,1.20645,1.1731,1.08271,0.0036034,0.00120113,0.0036034,0.00120113,0.0036034,0.00120113,0.0036034,0.00120113
3,2716.39,1.21208,1.20952,1.08202,0.87899,0.77904,0.85153,0.56168,1.1506,1.02661,1.05598,0.00481147,0.00160382,0.00481147,0.00160382,0.00481147,0.00160382,0.00481147,0.00160382
4,3483.72,1.15622,1.06437,1.06366,0.91029,0.8095,0.88523,0.60219,1.11771,0.89355,1.04332,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
5,4256.85,1.07434,0.93346,1.02947,0.927,0.83442,0.90559,0.64969,1.01647,0.78383,0.99267,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
6,5083.21,1.01337,0.85322,1.006,0.93936,0.8518,0.92555,0.68233,0.95883,0.721,0.97508,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
7,5846.8,0.95707,0.78833,0.98247,0.94764,0.8668,0.93507,0.68011,0.96965,0.6791,0.97131,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
8,6606.91,0.91351,0.73953,0.96743,0.95462,0.87543,0.94092,0.70861,0.9167,0.63991,0.9561,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
9,7363.73,0.87436,0.70266,0.95325,0.96108,0.88509,0.94705,0.72108,0.89013,0.61343,0.94265,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
10,8116.17,0.8332,0.66707,0.94199,0.9585,0.88889,0.94907,0.72936,0.87136,0.59806,0.93755,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
